ID,Test Steps,Expected results,A result,Comment
UI-RG-026,"Nhấn nút 'Tếp theo' ở PasswordInput","Alert Loading và sau đó Success/Fail","Not Run","CustomLinearButton('Tếp theo')"
UI-RG-027,"PasswordInput thành công","Điều hướng tới 'registerInfoInput1'","Not Run","navController.navigate(...)"
UI-RG-028,"PasswordInput lỗi","Alert 'Lỗi: <nội dung>' hiển thị","Not Run","state.error != null"

UI-HM-029,"Mở màn HomeScreen khi isLoading=true","Hiển thị vòng tải 'HeartLoading'","Not Run","HomeScreen.kt"
UI-HM-030,"Mở màn HomeScreen khi isLoading=false","Hiển thị thông báo 'Hết đối tượng để hiển thị rồi'","Not Run","NothingToLoad text 1"
UI-HM-031,"Mở màn HomeScreen khi isLoading=false","Hiển thị gợi ý 'Bạn có thể điều chỉnh filter để tìm nhiều đối tượng hơn'","Not Run","NothingToLoad text 2"
UI-HM-032,"Khi có dữ liệu users và currentIndex hợp lệ","Hiển thị các thẻ (SwipeCard) theo stack từ currentIndex","Not Run","Vòng for từ users.size-1 downto currentIndex"
UI-HM-033,"Kéo thẻ sang phải vượt ngưỡng ~25% chiều rộng","Thẻ biến mất, hiển thị tim like và phát âm thanh","Not Run","AnimatedHeart + R.raw.like"
UI-HM-034,"Kéo thẻ sang trái vượt ngưỡng ~25% chiều rộng","Thẻ biến mất, hiển thị tim dislike và phát âm thanh","Not Run","AnimatedHeart + R.raw.dislike"
UI-HM-035,"Kéo thẻ không vượt ngưỡng","Thẻ trở về vị trí ban đầu","Not Run","animateTo(0f)"
UI-HM-036,"Quan sát tim hiệu ứng sau khi swipe","Tim mờ dần và trôi lên rồi biến mất","Not Run","alpha + translationY animation"
UI-HM-037,"Sau ~1.2 giây kể từ swipe","Tim like/dislike tự ẩn","Not Run","delay(1200)"
UI-HM-038,"Cuộn dọc nội dung hồ sơ trong thẻ","Trang thông tin cuộn được","Not Run","verticalScroll(scrollState)"

UI-HM-039,"Xem phần ảnh hồ sơ","Hiển thị ảnh qua ProfileImage","Not Run","Trong Box chiều cao ~682dp"
UI-HM-040,"Xem thông tin cơ bản","Hiển thị tên (gradient), tuổi và icon trái tim","Not Run","ProfileInfo.kt"
UI-HM-041,"Xem mục 'Cung hoàng đạo'","Hiển thị InfoBox Zodiac","Not Run","stringResource(R.string.zodiac)"
UI-HM-042,"Xem mục Địa điểm","InfoBox 'location', không có thì hiển thị 'Không muốn chia sẻ'","Not Run","SwipeCard.kt fallback"
UI-HM-043,"Xem mục Tiểu sử","InfoBox 'bio', không có thì hiển thị 'Không muốn chia sẻ'","Not Run","SwipeCard.kt fallback"
UI-HM-044,"Xem mục Lối sống","InfoBox 'life_style', không có thì hiển thị 'Không muốn chia sẻ'","Not Run","SwipeCard.kt fallback"
UI-HM-045,"Xem danh sách Sở thích","InfoListBox 'hobbies', có thể trống nếu không dữ liệu","Not Run","SwipeCard.kt"

UI-GN-046,"Kiểm tra hiển thị biểu tượng xoay ở form auth","Icon quay (RotatedIcon) xuất hiện ở phần topContent","Not Run","Áp dụng cho Login/Register"
UI-GN-047,"Kiểm tra nút Linear Button ở form auth","Nút có nền gradient redOrangeLinear, chữ trắng","Not Run","Áp dụng cho các nút chính"
UI-GN-048,"Kiểm tra Border Button ở Login","Nút viền đen, nhãn 'Đăng kí'","Not Run","CustomBorderButton"
UI-GN-049,"Kiểm tra alert message luân chuyển đúng theo state","Loading/Success/Error hiển thị chính xác","Not Run","AuthFormContainer(alertMessage)"
UI-GN-050,"Kiểm tra điều hướng popUpTo ở đăng ký","Back stack được làm sạch theo cấu hình (inclusive=true)","Not Run","RegisterEntryScreen popUpTo"
